Bugsukan,166805002,Rural,8317
Buntalid,166805003,Rural,8317
Cabangahan,166805004,Rural,8317
Cabas-an,166805005,Rural,8317
Calagdaan,166805006,Rural,8317
Consuelo,166805007,Rural,8317
General Island,166805008,Rural,8317
Lininti-an (Pob.),166805009,Rural,8317
Magasang,166805010,Rural,8317
Magosilom (Pob.),166805011,Urban,8317
Pag-Antayan,166805012,Urban,8317
Palasao,166805013,Rural,8317
Parang,166805014,Rural,8317
Tapi,166805015,Rural,8317
Tigabong,166805016,Rural,8317
Lobo,166805017,Rural,8317
San Pedro,166805018,Rural,8317
