12800000,ILOCOS NORTE,Prov,1st,None,593081
12900000,ILOCOS SUR,Prov,1st,None,689668
13300000,LA UNION,Prov,1st,None,786653
15500000,PANGASINAN,Prov,1st,None,2956726
20900000,BATANES,Prov,5th,None,17246
21500000,CAGAYAN,Prov,1st,None,1199320
23100000,ISABELA,Prov,1st,None,1593566
25000000,NUEVA VIZCAYA,Prov,2nd,None,452287
25700000,QUIRINO,Prov,3rd,None,188991
30800000,BATAAN,Prov,1st,None,760650
31400000,BULACAN,Prov,1st,None,3292071
34900000,NUEVA ECIJA,Prov,1st,None,2151461
35400000,PAMPANGA,Prov,1st,None,"(excluding CITY OF ANGELES) 2,198,110"
36900000,TARLAC,Prov,1st,None,1366027
37100000,ZAMBALES,Prov,2nd,None,"(excluding CITY OF OLONGAPO) 590,848"
37700000,AURORA,Prov,3rd,None,214336
41000000,BATANGAS,Prov,1st,None,2694335
42100000,CAVITE,Prov,1st,None,3678301
43400000,LAGUNA,Prov,1st,None,3035081
45600000,QUEZON,Prov,1st,None,"(excluding CITY OF LUCENA) 1,856,582"
45800000,RIZAL,Prov,1st,None,2884227
174000000,MARINDUQUE,Prov,4th,None,234521
175100000,OCCIDENTAL MINDORO,Prov,2nd,None,487414
175200000,ORIENTAL MINDORO,Prov,1st,None,844059
175300000,PALAWAN,Prov,1st,None,"(excluding CITY OF PUERTO PRINCESA) 849,469"
175900000,ROMBLON,Prov,3rd,None,292781
50500000,ALBAY,Prov,1st,None,1314826
51600000,CAMARINES NORTE,Prov,2nd,None,583313
51700000,CAMARINES SUR,Prov,1st,None,1952544
52000000,CATANDUANES,Prov,3rd,None,260964
54100000,MASBATE,Prov,1st,None,892393
56200000,SORSOGON,Prov,2nd,None,792949
60400000,AKLAN,Prov,2nd,None,574823
60600000,ANTIQUE,Prov,2nd,None,582012
61900000,CAPIZ,Prov,1st,None,761384
63000000,ILOILO,Prov,1st,None,"(excluding ILOILO CITY) 1,936,423"
64500000,NEGROS OCCIDENTAL,Prov,1st,None,"(excluding CITY OF BACOLOD)  2,497,261"
67900000,GUIMARAS,Prov,4th,None,174613
71200000,BOHOL,Prov,1st,None,1313560
72200000,CEBU,Prov,1st,None,"(excluding the cities of CEBU, LAPU-LAPU, AND MANDAUE) 2,938,982 "
74600000,NEGROS ORIENTAL,Prov,1st,None,1354995
76100000,SIQUIJOR,Prov,5th,None,95984
82600000,EASTERN SAMAR,Prov,2nd,None,467160
83700000,LEYTE,Prov,1st,None,"(excluding CITY OF TACLOBAN) 1,724,679"
84800000,NORTHERN SAMAR,Prov,2nd,None,632379
86000000,SAMAR (WESTERN SAMAR),Prov,1st,None,780481
86400000,SOUTHERN LEYTE,Prov,3rd,None,421750
87800000,BILIRAN,Prov,4th,None,171612
97200000,ZAMBOANGA DEL NORTE,Prov,1st,None,1011393
97300000,ZAMBOANGA DEL SUR,Prov,1st,None,"(excluding  CITY OF ZAMBOANGA) 1,010,674"
98300000,ZAMBOANGA SIBUGAY,Prov,2nd,None,633129
101300000,BUKIDNON,Prov,1st,None,1415226
101800000,CAMIGUIN,Prov,5th,None,88478
103500000,LANAO DEL NORTE,Prov,2nd,None,"(excluding CITY OF ILIGAN) 676,395"
104200000,MISAMIS OCCIDENTAL,Prov,2nd,None,602126
104300000,MISAMIS ORIENTAL,Prov,1st,None,"(excluding CITY OF CAGAYAN DE ORO) 888,509 "
112300000,DAVAO DEL NORTE,Prov,1st,None,1016332
112400000,DAVAO DEL SUR,Prov,1st,None,632588
112500000,DAVAO ORIENTAL,Prov,1st,None,558958
118200000,COMPOSTELA VALLEY,Prov,1st,None,736107
118600000,DAVAO OCCIDENTAL,Prov,4th,None,316342
124700000,COTABATO (NORTH COTABATO),Prov,1st,None,1379747
126300000,SOUTH COTABATO,Prov,1st,None,"(excluding CITY OF GENERAL SANTOS) 915,289"
126500000,SULTAN KUDARAT,Prov,1st,None,812095
128000000,SARANGANI,Prov,2nd,None,544261
140100000,ABRA,Prov,3rd,None,241160
141100000,BENGUET,Prov,2nd,None,"(excluding BAGUIO CITY) 444,224"
142700000,IFUGAO,Prov,3rd,None,202802
143200000,KALINGA,Prov,3rd,None,212680
144400000,MOUNTAIN PROVINCE,Prov,4th,None,154590
148100000,APAYAO,Prov,3rd,None,119184
150700000,BASILAN,Prov,3rd,None,"(excluding CITY OF ISABELA) 346,579"
153600000,LANAO DEL SUR,Prov,1st,None,1045429
153800000,MAGUINDANAO,Prov,1st,None,"(excluding COTOBATO CITY) 1,173,933"
156600000,SULU,Prov,2nd,None,824731
157000000,TAWI-TAWI,Prov,3rd,None,390715
160200000,AGUSAN DEL NORTE,Prov,3rd,None,"(excluding CITY OF BUTUAN) 354,503"
160300000,AGUSAN DEL SUR,Prov,1st,None,700653
166700000,SURIGAO DEL NORTE,Prov,2nd,None,485088
166800000,SURIGAO DEL SUR,Prov,1st,None,592250
168500000,DINAGAT ISLANDS,Prov,4th,None,127152
